cluster,Li,Be,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Se,Sr,Mo,Cd,Sb,Ba,Tl,Pb,U,pH,EC,Na,Cl,HCO3
0,0.006626666666666666,1.1583333333333335e-05,0.00142,0.0008533333333333332,0.42650000000000005,0.5663333333333332,0.00044833333333333335,0.002256666666666667,0.003993333333333333,0.0255,0.0035033333333333336,0.005416666666666667,1.166,0.00028283333333333334,5.7583333333333335e-05,0.00017783333333333334,0.049166666666666664,3.2500000000000004e-05,0.0007266666666666667,0.003871666666666667,7.631666666666667,2117.6666666666665,290.81666666666666,356.3666666666666,810.0
1,0.0078,1.325e-05,0.0001475,0.0004275,0.6635,55.748,0.0007700000000000001,0.002525,0.011425,152.75150000000002,0.0003125,0.01625,1.251,0.00042,0.000265,0.00051,0.098,0.000115,0.04015,5.5e-05,6.755,7265.0,1192.5,2588.5,408.5
2,0.0119,6.5e-06,0.0129,0.0044,1.061,0.167,0.0014,0.0098,0.0013,0.052,0.0037,0.011,2.194,0.0002,0.000175,0.000115,0.348,4e-05,0.00095,7e-05,8.57,11980.0,2262.0,0.0,2860.0
3,0.0094,2e-05,0.0133,0.0025,1.343,0.1165,0.0012,0.00385,0.0305,0.151,0.0058,0.0355,2.332,0.0009,0.00025,0.00095,0.379,0.0001,0.00315,0.0001,7.12,11620.0,2699.0,0.0,3037.0
